Life Expectancy at Birth,Happiness Score,GDP per Capita,GNI per Capita,Freedom
81.6,7.522,1.459,"64,992",0.67
82.4,7.284,1.334,"42,261",0.651
83.0,7.587,1.397,"56,431",0.666
80.2,7.527,1.325,"44,025",0.649
81.6,7.378,1.329,"45,435",0.616
80.9,6.75,1.328,"43,919",0.615
80.9,6.94,1.336,"39,568",0.618
79.1,7.119,1.395,"52,947",0.546
82.0,7.427,1.326,"42,155",0.633
81.8,7.286,1.25,"32,689",0.639
83.0,6.798,1.522,"76,628",0.543
82.2,7.364,1.332,"45,636",0.66
80.7,6.867,1.266,"39,267",0.596
82.6,7.561,1.302,"35,182",0.629
81.9,5.984,1.245,"33,890",0.332
82.4,7.278,1.229,"30,676",0.413
81.7,6.946,1.564,"58,711",0.616
83.5,5.987,1.271,"36,927",0.496
80.8,6.937,1.308,"41,187",0.584
82.2,6.575,1.278,"38,056",0.55
81.4,7.2,1.337,"43,869",0.624
80.8,7.406,1.29,"38,695",0.642
80.4,5.848,1.185,"27,852",0.609
82.6,6.329,1.23,"32,045",0.46
83.1,5.948,1.251,"33,030",0.262
78.6,6.505,1.179,"26,660",0.464
80.9,4.857,1.154,"24,524",0.077
76.8,5.429,1.152,"25,214",0.449
80.2,5.689,1.208,"28,633",0.407
78.2,6.611,1.69,"123,124",0.64
76.3,5.995,1.169,"25,845",0.318
77.4,5.791,1.126,"23,177",0.531
73.3,5.833,1.147,"24,500",0.213
80.6,6.302,1.207,"27,930",0.604
74.3,6.411,1.395,"52,821",0.31
76.3,6.574,1.054,"22,050",0.45
77.0,6.901,1.427,"60,868",0.642
81.7,6.67,1.107,"21,290",0.441
80.9,5.102,1.16,"25,757",0.515
75.2,4.8,1.121,"22,916",0.321
76.6,5.96,1.324,"38,599",0.455
74.2,5.098,1.113,"22,281",0.297
77.3,5.759,1.083,"19,409",0.259
74.4,6.295,1.554,"83,961",0.555
76.2,5.192,0.974,"14,558",0.183
71.3,5.813,1.032,"16,676",0.379
70.1,5.716,1.138,"22,352",0.367
76.8,6.853,1.36,"34,858",0.633
74.7,5.124,1.043,"18,108",0.351
77.2,6.485,1.062,"19,283",0.604
69.4,5.855,1.123,"20,867",0.516
74.2,4.218,1.012,"15,596",0.306
77.6,6.786,1.064,"18,192",0.542
74.7,5.77,1.125,"22,762",0.53
74.4,5.477,1.008,"17,470",0.561
70.4,6.168,1.212,"26,090",0.559
74.9,5.123,0.921,"12,190",0.201
79.3,4.839,1.026,"16,509",0.339
79.4,7.226,0.956,"13,413",0.634
75.4,4.686,1.009,"15,440",0.3
74.2,6.81,1.044,"16,159",0.429
75.3,5.332,1.061,"18,677",0.228
74.9,4.271,0.835,"9,779",0.537
76.8,7.187,1.021,"16,056",0.482
74.5,6.983,0.981,"15,175",0.49
74.9,4.297,0.742,"7,164",0.406
70.8,5.212,1.024,"16,428",0.37
74.0,5.192,0.902,"11,365",0.407
71.0,4.681,0.799,"8,178",0.251
74.8,5.605,0.939,"13,054",0.286
74.6,5.824,0.9,"11,015",0.415
77.8,4.959,0.879,"9,943",0.357
74.7,4.35,0.768,"8,124",0.198
76.5,4.949,0.832,"9,638",0.092
75.9,5.975,0.864,"10,605",0.486
75.8,5.14,0.89,"12,547",0.517
69.4,4.874,0.828,"10,729",0.436
74.4,6.455,0.967,"13,323",0.557
71.6,5.754,1.131,"14,911",0.417
74.8,4.739,0.881,"10,404",0.263
74.0,6.477,0.919,"12,040",0.535
75.7,5.709,0.81,"7,415",0.504
73.5,4.885,0.895,"11,883",0.577
71.1,6.269,0.995,"15,617",0.597
64.5,4.332,0.994,"16,646",0.495
71.6,5.889,0.594,"5,223",0.328
71.1,4.194,0.882,"10,512",0.173
65.6,5.548,0.958,"13,066",0.476
64.4,3.896,1.06,"16,367",0.319
68.9,5.399,0.828,"9,788",0.466
72.9,5.878,0.76,"7,643",0.539
68.4,6.003,0.632,"5,567",0.658
68.2,5.073,0.705,"7,915",0.625
73.0,6.13,0.765,"7,349",0.404
57.4,4.642,0.92,"12,122",0.332
75.8,5.36,0.632,"5,092",0.594
68.3,5.89,0.681,"5,760",0.574
70.6,5.286,0.474,"3,044",0.435
69.4,4.677,0.985,"14,003",0.0
74.9,5.828,0.593,"4,457",0.555
74.0,5.013,0.735,"6,850",0.417
71.8,6.123,0.746,"6,929",0.577
69.4,4.786,0.39,"2,517",0.472
68.0,4.565,0.645,"5,497",0.398
73.1,4.788,0.595,"3,938",0.401
69.5,5.253,0.77,"7,176",0.532
69.6,3.006,0.663,"2,728",0.157
60.1,5.129,0.47,"3,734",0.488
61.4,4.633,0.546,"3,852",0.423
71.6,4.694,0.398,"3,191",0.408
68.4,3.819,0.46,"2,949",0.662
61.6,4.419,0.365,"2,762",0.422
69.6,4.514,0.36,"2,311",0.383
66.2,5.194,0.595,"4,866",0.121
65.9,4.307,0.271,"4,608",0.44
52.3,4.033,0.758,"6,822",0.104
65.0,3.781,0.285,"2,411",0.329
52.8,5.268,0.654,"5,341",0.343
55.5,4.252,0.422,"2,803",0.493
65.1,3.681,0.208,"1,328",0.192
57.5,4.61,0.271,"1,615",0.259
63.1,4.436,0.454,"3,560",0.242
63.3,3.956,0.239,"1,456",0.229
63.8,4.077,0.546,"3,519",0.356
49.8,4.898,0.375,"3,306",0.318
59.7,2.839,0.209,"1,228",0.365
62.8,4.518,0.267,"1,669",0.244
64.2,3.465,0.222,"1,458",0.592
58.5,3.931,0.211,"1,613",0.457
59.6,3.34,0.287,"1,767",0.484
63.5,4.55,0.521,"3,809",0.101
62.0,4.369,0.44,"3,276",0.461
66.5,3.904,0.365,"2,188",0.368
60.4,3.575,0.32,"1,885",0.234
62.8,4.292,0.016,747,0.431
64.1,4.512,0.191,"1,428",0.434
60.9,4.571,0.071,805,0.285
58.0,3.995,0.261,"1,583",0.389
55.1,4.971,0.083,"1,123",0.34
50.9,4.507,0.33,"1,780",0.408
58.8,3.656,0.174,"1,096",0.377
58.7,3.587,0.258,"1,591",0.395
56.7,2.905,0.015,758,0.118
51.6,3.667,0.342,"2,085",0.235
50.7,3.678,0.078,581,0.489
61.4,3.845,0.069,908,0.477
